zone_name,zone_id,capacity,type
Zone_988,988,-1,0
Zone_989,989,-1,0
Zone_990,990,-1,0
Zone_991,991,-1,0
Zone_992,992,-1,0
Zone_993,993,-1,0
Zone_994,994,-1,0
Zone_995,995,-1,0
Zone_996,996,-1,0
Zone_997,997,-1,0
Zone_998,998,-1,0
Zone_999,999,-1,0
Zone_1000,1000,-1,0
Zone_1001,1001,-1,0
Zone_1002,1002,-1,0
Zone_1003,1003,-1,0
Zone_1004,1004,-1,0
Zone_1005,1005,-1,1
Zone_1006,1006,-1,1
Zone_1007,1007,-1,0
Zone_1008,1008,-1,0
Zone_1009,1009,-1,0
Zone_1010,1010,-1,0
Zone_1011,1011,-1,0
Zone_1012,1012,-1,0
Zone_1013,1013,-1,0
Zone_1014,1014,-1,0
Zone_1015,1015,-1,0
Zone_1016,1016,-1,0
Zone_1017,1017,-1,0
Zone_1018,1018,-1,0
Zone_1019,1019,-1,0
Zone_1020,1020,-1,0
Zone_1021,1021,-1,0
Zone_1022,1022,-1,0
Zone_1023,1023,-1,0
Zone_1024,1024,-1,0
Zone_1025,1025,-1,0
Zone_1026,1026,-1,0
Zone_1027,1027,-1,0
Zone_1028,1028,-1,0
Zone_1029,1029,-1,0
Zone_1030,1030,-1,0
Zone_1031,1031,-1,0
Zone_1032,1032,-1,0
Zone_1033,1033,-1,0
Zone_1034,1034,-1,0
Zone_1035,1035,-1,0
Zone_1036,1036,-1,0
Zone_1037,1037,-1,0
Zone_1038,1038,-1,0
Zone_1039,1039,-1,0
Zone_1040,1040,-1,0
Zone_1041,1041,-1,0
Zone_1042,1042,-1,0
Zone_1043,1043,-1,0
Zone_1044,1044,-1,0
Zone_1045,1045,-1,0
Zone_1046,1046,-1,0
Zone_1047,1047,-1,0
Zone_1048,1048,-1,0
Zone_1049,1049,-1,0
Zone_1050,1050,-1,0
Zone_1051,1051,-1,0
Zone_1052,1052,-1,0
Zone_1053,1053,-1,0
Zone_1054,1054,-1,0
Zone_1055,1055,-1,0
Zone_1056,1056,-1,0
Zone_1057,1057,-1,0
Zone_1058,1058,-1,0
Zone_1059,1059,-1,0
Zone_1060,1060,-1,0
Zone_1061,1061,-1,0
